1-1,1-2,1-5,1-6,1-7,2-5,2-7,2-8,3-1,3-4,3-6,3-9,3-10,3-11
0.106312,0.004429,0.0,0.000426,8e-05,0.010794,0.011894,0.007871,0.377563,0.051541,0.160731,0.663305,0.003537,0.0
0.136174,2.4e-05,0.000783,0.067267,0.0,0.015246,0.013493,0.000246,0.737515,0.05524,0.247684,0.292265,0.001133,0.0
0.20037,0.0,0.001566,0.303839,0.0,0.010334,0.011663,0.001066,0.085589,0.031421,0.202635,0.074581,8.5e-05,0.0
0.099915,2.4e-05,0.0,0.093522,8e-05,0.012375,0.012263,0.0,0.056038,0.022907,0.18555,0.047613,0.000177,0.0
0.129354,0.0,0.0,0.147236,0.0,0.011165,0.009809,0.0,0.032067,0.039352,0.105525,0.032971,3e-05,0.0
0.119297,1.6e-05,0.0,0.131626,0.0,0.011286,0.01184,0.0,0.020766,0.028862,0.171696,0.027591,0.000105,0.0
0.112515,8e-06,0.0,0.089051,0.0,0.008585,0.010584,0.0,0.026598,0.028,0.136592,0.02162,2.1e-05,0.0
0.096062,0.0,0.0,0.0,0.0,0.010298,0.018933,0.0,0.021952,0.033195,0.147896,0.022759,0.000234,0.0
0.116407,0.0,0.0,7.1e-05,0.0,0.011288,0.012564,0.0,0.026862,0.030559,0.149044,0.032658,2e-05,0.0
0.130009,0.003753,0.0,0.0,0.0,0.013181,0.011054,8.2e-05,0.023256,0.028988,0.150106,0.021832,2.8e-05,0.0
0.100917,0.003602,0.0,0.0,0.0,0.009834,0.012668,0.000492,0.377732,0.031928,0.169613,0.593464,0.0001,0.0
0.288109,0.002147,0.0,0.0,0.00016,0.010966,0.011293,0.0,0.574277,0.065908,0.326519,0.215959,3.3e-05,0.0
0.128776,0.001217,0.0,0.000213,8e-05,0.012276,0.013898,0.0,0.042974,0.047486,0.145389,0.02381,0.000269,0.0
0.115791,0.004843,0.000783,0.000213,0.0,0.01044,0.0108,0.0,0.015649,0.034842,0.161028,0.026259,0.000133,0.0
0.112361,0.001567,0.0,0.0,8e-05,0.015164,0.011042,0.0,0.017596,0.034208,0.147089,0.025784,1.8e-05,0.0
0.104963,0.0,0.0,0.000355,0.0,0.01187,0.005534,0.0,0.033918,0.061803,0.135189,0.029921,0.00025,0.0
0.171509,0.000127,0.000783,0.0,0.0,0.012852,0.008149,0.0,0.026224,0.03061,0.168211,0.037797,1.9e-05,0.0
0.125385,0.003213,0.002349,0.0,0.0,0.011107,0.020484,0.0,0.063129,0.032789,0.261368,0.071148,2.8e-05,0.0
0.132051,0.003992,0.0,0.0,0.0,0.009611,0.05525,0.0,0.087348,0.027468,0.105907,0.057389,9.5e-05,0.0
0.112631,0.0,0.0,0.0,0.0,0.011774,0.032811,0.0,0.018877,0.028862,0.146366,0.021873,2.9e-05,0.0
0.134941,0.003316,0.0,0.0,0.0,0.048596,0.009664,0.0,0.328665,0.031928,0.146579,0.592252,0.000144,0.0
0.11186,0.000151,0.0,0.0,0.0,0.030792,0.010172,0.00041,0.644048,0.028507,0.139737,0.21789,2.5e-05,0.0
0.112824,0.0,0.0,0.0,0.0,0.009144,0.011419,0.0,0.018801,0.037122,0.160986,0.028607,0.000201,0.0
0.131551,0.0,0.0,0.0,0.0,0.010367,0.011421,0.0,0.028644,0.066212,0.154569,0.023098,0.000104,0.0
0.09691,0.0,0.0,0.0,0.0,0.012233,0.010053,0.0,0.013833,0.029825,0.125542,0.029734,0.000968,0.0
0.116022,3.2e-05,0.0,0.0,0.0,0.009323,0.017441,0.0,0.023807,0.033169,0.158606,0.020592,1.9e-05,0.0
0.129431,0.0,0.0,7.1e-05,0.0,0.012019,0.038813,0.0,0.02861,0.029419,0.137229,0.031696,0.001539,0.0
0.111822,8e-06,0.0,7.1e-05,0.0,0.011536,0.010423,0.0,0.015309,0.02947,0.123629,0.024566,9.3e-05,0.0
0.116484,0.0,0.0,0.0,0.0,0.013073,0.010772,0.0,0.023233,0.033017,0.124564,0.022117,2.3e-05,0.0
0.079917,0.015435,0.0,0.0,0.0,0.035751,0.009738,0.0,0.017768,0.034234,0.140671,0.022085,1.8e-05,0.0
0.154015,0.001217,0.0,0.0,0.0,0.006206,0.012162,0.0,0.430974,0.027772,0.164343,0.688994,0.000103,0.0
0.079724,0.0,0.0,0.0,0.0,0.005064,0.011245,0.0,0.703525,0.028279,0.169868,0.293974,2.4e-05,0.0
0.232468,0.0,0.0,0.0,0.0,0.010295,0.010141,0.0,0.17997,0.025542,0.210752,0.134944,2.4e-05,0.0
0.11818,0.005503,0.0,0.0,0.0,0.009727,0.011101,0.0,0.078724,0.057065,0.151041,0.047259,2.6e-05,0.0
0.112361,0.004867,0.0,0.0,0.0,0.012178,0.010853,0.000246,0.0182,0.183458,0.158011,0.022658,0.00154,0.0
0.082922,0.001034,0.0,0.0,0.0,0.009915,0.012134,0.0,0.018544,0.032029,0.1187,0.030234,0.000105,0.0
0.145153,0.002736,0.0,0.0,0.0,0.010116,0.010612,0.0,0.025849,0.029622,0.169188,0.027579,2.2e-05,0.0
0.111899,0.000517,0.0,0.0,0.0,0.011912,0.009031,0.0,0.019871,0.035349,0.118955,0.019819,2.5e-05,0.0
0.125886,0.0,0.0,0.0,0.0,0.010579,0.010607,0.0,0.02046,0.029597,0.149766,0.021209,5.4e-05,0.0
0.128776,0.0,0.0,0.0,0.0,0.010059,0.009229,0.0,0.021183,0.035526,0.08283,0.036487,3e-05,0.0
0.10084,0.0,0.0,7.1e-05,0.0,0.010746,0.011469,0.0,0.366327,0.028938,0.141096,0.598356,0.000142,0.0
0.111822,8e-06,0.0,0.0,0.0,0.01425,0.012036,0.0,0.600994,0.032815,0.130429,0.201247,3e-05,0.0
